repos,files
vnu-dse/inferOCL,"[[""vnu-dse$inferOCL$plugins#fr.inria.atlanmod.genmodel#Cartier#demo#MDD4DRES#SimpleUMLCD#input#metamodel#simpleUML_MM.ecore"", ""vnu-dse$inferOCL$plugins#fr.inria.atlanmod.genmodel.alloy2emf#samplefiles#simpleUML_MM.ecore"", ""vnu-dse$inferOCL$plugins#fr.inria.atlanmod.genmodel#Cartier#Temp#currentMetaModel#current.ecore""]]"
dzonekl/netxstudio,"[[""dzonekl$netxstudio$model#com.netxforge.netxstudio.models.export#src#models#geo.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#05012011#geo.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#06032012#geo.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#edapt#13042011#geo.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#05012011#geo.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#06032012#geo.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#13042011#geo.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#13042011#geo.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#16042013#geo.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#06032012#protocols.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models.export#src#models#protocols.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#13042011#protocols.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#edapt#13042011#protocols.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#16042013#protocols.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#13042011#protocols.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#06032012#protocols.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#16042013#generics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#13042011#generics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#06032012#generics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#13042011#generics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#06032012#generics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models.export#src#models#generics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#edapt#13042011#generics.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#edapt#13042011#library.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#06032012#library.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#13042011#library.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#06032012#library.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#16042013#library.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models.export#src#models#library.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#06032012#scheduling.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#06032012#scheduling.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models.export#src#models#scheduling.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#edapt#13042011#scheduling.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#13042011#scheduling.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#16042013#scheduling.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#16042013#operators.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#06032012#operators.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#13042011#operators.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models.export#src#models#operators.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#06032012#operators.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#edapt#13042011#operators.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#16042013#metrics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#13042011#metrics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#edapt#13042011#metrics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#06032012#metrics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models.export#src#models#metrics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#06032012#metrics.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#06032012#services.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#edapt#13042011#services.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#13042011#services.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models.export#src#models#services.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#06032012#services.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#16042013#services.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models.export#src#models#netxstudio.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#edapt#13042011#netxstudio.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#06032012#netxstudio.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#06032012#netxstudio.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#16042013#netxstudio.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#13042011#netxstudio.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#05012011#services.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#13042011#services.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#05012011#services.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#25102010#networks.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#15072010#networks.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#25102010#networks.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#25102010#netxstudio.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#25102010#netxstudio.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#15072010#netxstudio.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#25102010#generics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#25102010#generics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#15072010#generics.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#05012011#operators.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#05012011#operators.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#13042011#operators.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#15072010#services.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#25102010#services.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#25102010#services.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#05012011#netxstudio.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#05012011#netxstudio.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#25102010#metrics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#15072010#metrics.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#05012011#library.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#05012011#library.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#05012011#generics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#05012011#generics.ecore""], [""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#emf#05012011#metrics.ecore"", ""dzonekl$netxstudio$model#com.netxforge.netxstudio.models#models#cdo#05012011#metrics.ecore""]]"
eliericha/atlanalyser,"[[""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#OldAGTExp#OutputMM#codemodel.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#TestNGC#OutputMM#codemodel.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#SimpleTransfoForPost2Pre#OutputMM#codemodel.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#SimpleCMG#OutputMM#codemodel.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#SimpleCMG1#OutputMM#codemodel.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#NonInjectiveInPatterns#OutputMM#codemodel.ecore""], [""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#ResolveTemp#InputMM#in.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#ForPhDPost2Pre#InputMM#in.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.tests#in.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#ForPaper#InputMM#in.ecore""], [""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#SimpleTransfoForPost2Pre#InputMM#systemmodel.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#SimpleCMG#InputMM#systemmodel.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#SimpleCMG1#InputMM#systemmodel.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#OldAGTExp#InputMM#systemmodel.ecore""], [""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#ResolveTemp#OutputMM#out.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#ForPhDPost2Pre#OutputMM#out.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#ForPaper#OutputMM#out.ecore""], [""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#Monitor2Semaphore#InputMM#Program.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.tests#Program.ecore""], [""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#NonInjectiveInPatterns#InputMM#systemmodel.ecore"", ""eliericha$atlanalyser$fr.tpt.atlanalyser.examples#examples#TestNGC#InputMM#systemmodel.ecore""]]"
schwichti/astro,"[[""schwichti$astro$de.upb.dbis.owls#model#OWLS.ecore"", ""schwichti$astro$de.upb.dbis.owls#src#test#resources#OWLS.ecore""], [""schwichti$astro$de.upb.dbis.owls#src#test#resources#PetriNet.ecore"", ""schwichti$astro$de.upb.dbis.owls#model#PetriNet.ecore""]]"
GrammaticalFramework/gf-eclipse-plugin,"[[""GrammaticalFramework$gf-eclipse-plugin$workspace#org.grammaticalframework.eclipse#bin#org#grammaticalframework#eclipse#GF.ecore"", ""GrammaticalFramework$gf-eclipse-plugin$workspace#org.grammaticalframework.eclipse#src-gen#org#grammaticalframework#eclipse#GF.ecore""]]"
TransformationToolContest/ttc14-live-contest-solutions,"[[""TransformationToolContest$ttc14-live-contest-solutions$SDMLib#updatemodel.ecore"", ""TransformationToolContest$ttc14-live-contest-solutions$Epsilon#updatemodel.ecore"", ""TransformationToolContest$ttc14-live-contest-solutions$eMoflon#updatemodel#model#updatemodel.ecore""], [""TransformationToolContest$ttc14-live-contest-solutions$SDMLib#soccerpitch.ecore"", ""TransformationToolContest$ttc14-live-contest-solutions$Epsilon#soccerpitch.ecore""]]"
cproinger/mdse_ws2015,"[[""cproinger$mdse_ws2015$at.ac.tuwien.big.views.transformations#metamodel#views.ecore"", ""cproinger$mdse_ws2015$Lab4#at.ac.tuwien.big.views#model#views.ecore"", ""cproinger$mdse_ws2015$Lab2#at.ac.tuwien.big.views#model#views.ecore""]]"
mikesligo/visGrid,"[[""mikesligo$visGrid$ie.tcd.gmf.visGrid#model#visGrid.ecore"", ""mikesligo$visGrid$ie.tcd.gmf.visGrid#src#visGrid#impl#visGrid.ecore"", ""mikesligo$visGrid$ie.tcd.gmf.visGrid#bin#visGrid#impl#visGrid.ecore""]]"
pedromateo/tug_qt_unit_testing_fw,"[[""pedromateo$tug_qt_unit_testing_fw$qt48_model#model#Qt48XmlschemaQwtEnhanced.ecore"", ""pedromateo$tug_qt_unit_testing_fw$qt48_model#model#Qt48Xmlschema.ecore""]]"
emilianojuan/papilio,"[[""emilianojuan$papilio$org.eclipse.gmt.modisco.java#model#java.ecore"", ""emilianojuan$papilio$ar.edu.unicen.exa.papilio.atl#metamodel#java.ecore"", ""emilianojuan$papilio$org.eclipse.gmt.modisco.java#src#org#eclipse#gmt#modisco#java#emf#impl#java.ecore""]]"
